Marker position ,,,Robot position ,,,Map correction 
x,height,y,x,y,theta,percent
-1.28,0.357,0.172,3.481,3.929,1.43,77.119
-0.902,0.358,0.122,3.507,4.297,1.407,77.648
-0.912,0.359,0.103,3.491,4.312,1.396,77.122
-0.848,0.36,0.057,3.465,4.374,1.407,77.855
-0.852,0.359,0.056,3.471,4.376,1.408,79.143
-0.852,0.36,0.045,3.471,4.382,1.405,78.646
-0.909,0.358,0.102,3.499,4.321,1.412,77.244
-0.88,0.358,0.112,3.486,4.335,1.399,76.064
-0.888,0.358,0.105,3.489,4.33,1.399,75.573
-0.846,0.36,0.041,3.457,4.387,1.403,76.292
-0.831,0.36,0.032,3.47,4.378,1.409,78.648
-0.858,0.359,0.058,3.475,4.365,1.393,78.207
-0.913,0.358,0.103,3.483,4.321,1.405,76.638
-0.918,0.358,0.086,3.497,4.307,1.407,75.259
-0.892,0.359,0.06,3.487,4.314,1.397,77.955
-0.861,0.359,0.055,3.474,4.359,1.405,77.816
-0.82,0.36,0.04,3.484,4.401,1.385,78.159
-0.913,0.358,0.123,3.52,4.3,1.412,76.254
-0.877,0.358,0.08,3.474,4.332,1.396,77.107
-0.915,0.358,0.094,3.496,4.323,1.398,77.855
-0.924,0.359,0.082,3.483,4.325,1.39,77.363
-0.914,0.358,0.078,3.494,4.322,1.393,75.043
-0.861,0.359,0.067,3.476,4.376,1.403,78.926
-0.912,0.358,0.103,3.508,4.32,1.402,76.264
-0.912,0.358,0.072,3.477,4.339,1.403,77.661
-0.857,0.359,0.064,3.472,4.377,1.397,77.441
-0.905,0.358,0.091,3.501,4.325,1.397,77.065
-0.886,0.359,0.085,3.49,4.329,1.399,78.914
-0.935,0.358,0.082,3.487,4.308,1.405,77.547
-0.89,0.359,0.068,3.474,4.337,1.404,78.691
-0.915,0.359,0.066,3.492,4.332,1.41,76.682
-0.822,0.36,0.055,3.471,4.392,1.413,77.834
-0.902,0.358,0.086,3.503,4.328,1.409,77.103
-0.931,0.358,0.109,3.496,4.312,1.409,76.869
-0.897,0.358,0.071,3.49,4.336,1.4,75.644
-0.902,0.358,0.095,3.49,4.328,1.396,73.905
-0.912,0.358,0.086,3.477,4.333,1.411,77.111
-0.892,0.358,0.107,3.494,4.315,1.397,76.529
-0.868,0.359,0.095,3.488,4.344,1.385,72.845
-0.896,0.358,0.106,3.491,4.324,1.413,74.941
-0.897,0.359,0.101,3.491,4.32,1.397,75.534
-0.849,0.36,0.033,3.46,4.394,1.414,76.806
-0.918,0.358,0.1,3.492,4.318,1.394,75.563
-0.909,0.358,0.064,3.476,4.341,1.404,76.529
-0.896,0.359,0.067,3.483,4.334,1.405,74.928
-0.903,0.359,0.071,3.475,4.334,1.402,76.317
-0.888,0.358,0.091,3.497,4.32,1.407,76.101
-0.872,0.358,0.113,3.499,4.322,1.399,74.734
-0.895,0.358,0.075,3.475,4.332,1.405,74.985
-0.909,0.358,0.097,3.491,4.296,1.4,74.18
-0.882,0.358,0.091,3.478,4.322,1.409,74.679
