Marker position ,,,Robot position ,,,Map correction 
x,height,y,x,y,theta,percent
-1.042,0.356,0.34,3.712,4.146,1.294,77.627
-1.03,0.356,0.328,3.716,4.147,1.315,78.247
-1.027,0.356,0.311,3.683,4.154,1.272,79.362
-1.022,0.356,0.319,3.699,4.151,1.268,76.43
-1.036,0.355,0.339,3.695,4.157,1.269,76.522
-1.005,0.357,0.33,3.688,4.173,1.271,76.489
-1.041,0.356,0.324,3.696,4.153,1.271,77.868
-1.032,0.356,0.352,3.727,4.146,1.34,78.052
-1.013,0.356,0.306,3.699,4.158,1.268,78.634
-1.021,0.356,0.364,3.73,4.144,1.335,78.66
-1.034,0.356,0.318,3.705,4.161,1.271,79.458
-1.014,0.356,0.28,3.686,4.174,1.267,77.646
-1.008,0.356,0.293,3.699,4.162,1.27,77.626
-1.042,0.357,0.361,3.735,4.146,1.34,78.765
-1.04,0.356,0.373,3.74,4.151,1.345,78.531
-1.026,0.356,0.372,3.737,4.149,1.342,77.183
-1.018,0.356,0.367,3.737,4.144,1.343,77.805
-1.002,0.356,0.373,3.735,4.165,1.339,78.567
-1.033,0.356,0.296,3.694,4.162,1.273,77.999
-1.003,0.356,0.308,3.71,4.168,1.268,76.747
-1.02,0.357,0.367,3.733,4.149,1.342,77.723
-1.037,0.356,0.372,3.743,4.15,1.343,78.899
-1.03,0.356,0.351,3.73,4.149,1.34,78.837
-1.036,0.357,0.362,3.729,4.147,1.343,78.73
-1.016,0.356,0.357,3.737,4.15,1.341,78.629
-1.044,0.357,0.374,3.736,4.143,1.34,77.449
-1.047,0.356,0.316,3.705,4.156,1.272,78.809
-1.031,0.357,0.313,3.704,4.15,1.27,78.835
-1.061,0.356,0.326,3.708,4.153,1.271,78.531
-0.997,0.356,0.281,3.691,4.163,1.27,76.822
-1.022,0.356,0.271,3.69,4.164,1.27,77.625
-1.022,0.356,0.352,3.736,4.149,1.335,78.146
-1,0.356,0.319,3.695,4.158,1.272,77.812
-1.016,0.356,0.307,3.693,4.17,1.266,79.093
-1.033,0.356,0.374,3.729,4.145,1.343,78.031
-1.035,0.357,0.362,3.735,4.142,1.341,78.536
-1.017,0.356,0.366,3.731,4.152,1.34,78.625
-1.021,0.356,0.292,3.677,4.173,1.267,78.616
-1.042,0.356,0.375,3.747,4.155,1.344,76.685
-1.026,0.356,0.355,3.725,4.142,1.345,78.21
-1.032,0.356,0.36,3.736,4.163,1.347,78.121
-1.021,0.356,0.3,3.688,4.157,1.268,76.923
-1.021,0.357,0.31,3.691,4.159,1.271,78.111
-1.027,0.356,0.305,3.698,4.162,1.273,75.601
-1.027,0.356,0.367,3.733,4.152,1.343,78.758
-1.029,0.356,0.366,3.738,4.134,1.344,77.301
-1.044,0.356,0.351,3.714,4.147,1.265,79.035
-1.024,0.356,0.307,3.699,4.17,1.271,74.705
-1.031,0.356,0.328,3.707,4.158,1.269,78.921
-1.013,0.356,0.322,3.702,4.165,1.272,77.475
