x,y,theta
3.736,4.185,1.44
3.722,4.188,1.446
3.71,4.197,1.443
3.717,4.182,1.442
3.719,4.195,1.448
3.711,4.179,1.446
3.757,4.187,1.519
3.709,4.19,1.444
3.733,4.183,1.448
3.723,4.189,1.443
3.732,4.201,1.442
3.71,4.175,1.447
3.727,4.211,1.447
3.713,4.21,1.445
3.733,4.186,1.447
3.712,4.191,1.444
3.722,4.194,1.444
3.713,4.192,1.445
3.716,4.177,1.449
3.758,4.186,1.517
3.767,4.201,1.516
3.764,4.184,1.515
3.718,4.196,1.447
3.734,4.194,1.444
3.708,4.192,1.442
3.705,4.188,1.448
3.717,4.195,1.448
3.763,4.185,1.515
3.753,4.193,1.517
3.755,4.201,1.52
3.704,4.195,1.448
3.741,4.179,1.446
3.723,4.196,1.446
3.707,4.204,1.443
3.719,4.196,1.447
3.723,4.189,1.445
3.721,4.195,1.445
3.723,4.204,1.437
3.724,4.197,1.447
3.748,4.197,1.521
3.76,4.179,1.517
3.72,4.2,1.445
3.713,4.21,1.444
3.707,4.208,1.441
3.716,4.191,1.444
3.733,4.186,1.446
3.717,4.192,1.445
3.718,4.187,1.446
3.731,4.182,1.446
3.713,4.2,1.448
