x,y,theta
3.541,4.707,1.417
3.545,4.714,1.42
3.531,4.705,1.417
3.532,4.716,1.417
3.54,4.711,1.422
3.529,4.74,1.419
3.532,4.706,1.423
3.539,4.713,1.419
3.544,4.702,1.416
3.533,4.705,1.416
3.539,4.716,1.418
3.537,4.712,1.418
3.547,4.704,1.419
3.534,4.738,1.418
3.533,4.718,1.417
3.539,4.713,1.418
3.533,4.714,1.418
3.544,4.709,1.421
3.526,4.719,1.417
3.534,4.713,1.42
3.536,4.708,1.418
3.545,4.711,1.42
3.538,4.713,1.418
3.527,4.709,1.421
3.53,4.712,1.418
3.536,4.704,1.416
3.538,4.707,1.42
3.537,4.708,1.417
3.531,4.713,1.416
3.533,4.707,1.419
3.531,4.702,1.418
3.541,4.706,1.418
3.527,4.709,1.416
3.529,4.716,1.417
3.522,4.727,1.419
3.531,4.711,1.419
3.529,4.712,1.419
3.572,4.699,1.491
3.532,4.718,1.416
3.539,4.709,1.42
3.542,4.706,1.421
3.534,4.711,1.421
3.536,4.713,1.417
3.529,4.713,1.421
3.522,4.719,1.42
3.532,4.708,1.42
3.541,4.707,1.42
3.537,4.706,1.421
3.536,4.712,1.419
3.54,4.705,1.42
